player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
Chris Oladokun,2025,1.0,1.9,2,1.2,0.0,0.27,0.9,QB
Adrian Martinez,2026,1.0,1.57,1,1.2,0.0,0.01,0.57,QB
Malik Cunningham,2026,1.0,1.46,1,1.1,0.0,-0.01,0.46,QB
Trevor Siemian,2024,0.36,1.87,1,1.3,0.0,0.43,1.51,QB
Kellen Mond,2023,0.29,2.2,1,1.4,0.0,0.32,1.91,QB
Anthony Brown,2023,0.29,0.97,1,1.0,0.0,-0.02,0.68,QB
Ian Book,2023,0.29,0.88,1,1.1,0.0,0.01,0.59,QB
Skylar Thompson,2024,0.27,1.88,1,1.4,0.0,0.72,1.61,QB
Malik Cunningham,2024,0.27,1.45,1,1.0,0.0,0.17,1.18,QB
Brandon Allen,2026,0.0,1.32,1,1.0,0.0,-0.08,1.32,QB
Kirk Cousins,2026,0.0,25.42,3,2.6,0.0,9.68,25.42,QB
Teddy Bridgewater,2026,0.0,1.61,1,1.1,0.0,0.31,1.61,QB
Ja'Marr Chase,2025,43.42,41.27,4,3.3,73.9,54.64,-2.15,WR
Jaxon Smith-Njigba,2026,42.15,25.24,4,3.6,69.13,25.31,-16.91,WR
Justin Jefferson,2024,41.28,36.14,4,3.8,88.74,51.38,-5.14,WR
CeeDee Lamb,2024,40.1,36.75,4,4.4,67.0,39.34,-3.35,WR
A.J. Brown,2024,37.74,31.46,3,3.2,51.0,37.45,-6.28,WR
D.K. Metcalf,2025,35.6,19.41,4,2.2,60.0,16.1,-16.19,WR
Tyreek Hill,2024,35.38,22.28,3,3.3,54.0,26.97,-13.1,WR
Amon-Ra St. Brown,2024,35.38,32.88,4,3.5,34.67,26.96,-2.5,WR
Brandon Aiyuk,2024,35.38,33.81,4,3.7,45.0,38.5,-1.57,WR
Garrett Wilson,2025,35.06,29.19,4,3.3,38.32,30.18,-5.87,WR
Jaylen Waddle,2024,33.32,17.16,3,3.1,35.98,21.87,-16.16,WR
D.J. Moore,2024,32.43,26.52,4,3.1,43.65,21.02,-5.91,WR
Terry McLaurin,2025,31.29,31.46,3,3.2,44.65,29.66,0.17,WR
Tee Higgins,2025,31.02,13.45,4,2.8,30.0,11.73,-17.57,WR
DeVonta Smith,2024,29.48,33.32,3,3.6,34.0,34.84,3.84,WR
Jameson Williams,2025,28.77,3.34,3,1.6,30.58,2.79,-25.43,WR
Nico Collins,2024,28.6,21.2,3,3.0,32.12,5.63,-7.4,WR
Alec Pierce,2026,28.5,24.25,4,2.7,60.0,21.36,-4.25,WR
"Michael Pittman, Jr.",2024,27.52,23.66,3,3.1,41.0,28.69,-3.86,WR
George Pickens,2026,27.3,34.98,1,3.4,0.0,28.83,7.68,WR
Calvin Ridley,2024,27.12,8.49,4,2.5,46.98,3.66,-18.63,WR
Stefon Diggs,2024,26.56,16.92,1,2.8,22.02,19.57,-9.64,WR
Tee Higgins,2024,25.73,21.05,1,2.7,21.82,13.06,-4.68,WR
Courtland Sutton,2025,24.81,13.24,4,2.7,40.0,8.82,-11.57,WR
Mike Evans,2024,24.18,31.02,2,2.6,29.0,29.03,6.84,WR
Chris Godwin,2025,23.73,11.03,3,1.9,44.0,4.67,-12.7,WR
Davante Adams,2025,23.73,32.13,2,3.1,26.0,29.99,8.4,WR
Stefon Diggs,2025,22.83,8.0,3,1.3,16.6,4.65,-14.83,WR
Jakobi Meyers,2025,21.58,14.13,3,2.6,30.0,8.82,-7.45,WR
Jerry Jeudy,2024,20.64,15.09,3,2.3,41.0,14.73,-5.55,WR
Odell Beckham Jr.,2023,20.1,4.72,1,1.2,15.0,1.39,-15.38,WR
Tyler Lockett,2024,17.69,15.73,2,3.0,12.66,14.9,-1.96,WR
Calvin Ridley,2026,17.62,13.53,2,1.3,12.49,4.78,-4.09,WR
Wan'Dale Robinson,2026,17.5,21.61,4,3.1,38.0,22.67,4.11,WR
"Michael Pittman, Jr.",2026,17.5,9.36,2,1.9,24.0,5.34,-8.14,WR
