player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
Zack Moss,2024,4.72,4.56,2,1.3,3.0,1.7,-0.16,RB
Alexander Mattison,2023,4.69,2.59,2,1.4,3.6,1.2,-2.1,RB
Keaton Mitchell,2026,4.62,1.62,2,1.4,5.0,0.8,-3.0,RB
Gus Edwards,2023,4.53,1.99,1,1.1,2.3,0.52,-2.54,RB
Antonio Gibson,2024,4.42,6.07,3,2.3,5.3,3.95,1.65,RB
Jeff Wilson,2023,4.02,4.61,2,1.9,2.64,3.66,0.59,RB
Ezekiel Elliott,2023,4.02,6.34,1,1.7,1.1,4.47,2.32,RB
Gus Edwards,2024,3.83,4.71,2,1.7,3.38,3.15,0.88,RB
Hunter Luepke,2025,3.78,1.26,2,1.2,5.03,0.18,-2.52,RB
Raheem Mostert,2023,3.75,3.64,2,1.4,2.2,2.24,-0.11,RB
Devin Singletary,2023,3.68,9.06,1,2.1,2.5,4.71,5.38,RB
Justice Hill,2024,3.54,2.33,2,1.3,4.44,0.89,-1.21,RB
Cordarrelle Patterson,2024,3.54,2.06,2,0.9,1.9,0.07,-1.48,RB
Sean Tucker,2026,3.52,2.18,1,1.5,0.0,0.42,-1.34,RB
Javonte Williams,2025,3.24,4.97,1,2.6,2.0,1.55,1.73,RB
DeeJay Dallas,2024,3.24,1.45,3,1.1,2.4,0.49,-1.79,RB
A.J. Dillon,2024,3.23,3.83,1,1.2,0.17,1.41,0.6,RB
Justice Hill,2023,3.02,1.5,2,1.1,1.25,0.35,-1.52,RB
James Conner,2026,3.0,3.75,1,1.3,2.1,1.11,0.75,RB
Rico Dowdle,2025,2.97,5.56,1,2.1,2.75,2.37,2.59,RB
Elijah Mitchell,2025,2.7,1.53,1,1.1,1.35,0.09,-1.17,RB
Ty Johnson,2025,2.7,2.03,2,1.3,2.49,1.17,-0.67,RB
Nick Chubb,2025,2.7,2.23,1,1.0,1.5,0.06,-0.47,RB
Travis Homer,2023,2.68,1.65,2,1.2,1.75,0.6,-1.03,RB
James Robinson,2023,2.68,2.43,2,1.2,0.15,0.51,-0.25,RB
Boston Scott,2023,2.68,1.47,1,1.0,1.08,0.23,-1.21,RB
Nick Chubb,2024,2.68,5.45,1,1.6,2.05,2.51,2.77,RB
D'Onta Foreman,2023,2.68,3.34,1,1.1,1.0,0.87,0.66,RB
Christopher Brooks,2026,2.42,1.65,2,1.1,0.65,0.08,-0.77,RB
Damien Harris,2023,2.37,3.72,1,1.4,1.0,0.43,1.35,RB
Alexander Mattison,2024,2.36,3.28,1,1.6,1.65,0.89,0.92,RB
Ezekiel Elliott,2024,2.36,2.49,1,1.5,1.62,0.74,0.13,RB
Ameer Abdullah,2023,2.34,1.84,1,1.4,0.5,0.3,-0.5,RB
Ty Montgomery,2023,2.28,1.6,1,1.0,0.0,0.1,-0.68,RB
J.K. Dobbins,2025,2.23,5.67,1,1.6,2.06,3.09,3.44,RB
Ameer Abdullah,2024,2.18,2.11,1,1.2,0.85,0.47,-0.07,RB
Mike Boone,2023,2.08,1.77,2,1.1,0.3,0.21,-0.31,RB
Jeff Wilson,2024,2.06,1.96,1,1.1,0.4,0.42,-0.1,RB
Clyde Edwards-Helaire,2024,2.0,2.2,1,1.2,1.32,0.71,0.2,RB
Kene Nwangwu,2026,2.0,1.31,1,1.0,1.0,0.05,-0.69,RB
Rachaad White,2026,2.0,4.09,1,1.8,1.72,2.82,2.09,RB
Dare Ogunbowale,2025,1.94,1.72,1,1.2,0.75,0.47,-0.22,RB
Samaje Perine,2025,1.94,2.37,2,1.3,0.4,0.71,0.43,RB
JaMycal Hasty,2023,1.94,1.82,2,1.3,0.3,0.44,-0.12,RB
Salvon Ahmed,2023,1.94,1.28,1,1.7,0.3,0.07,-0.66,RB
Kenneth Gainwell,2025,1.93,3.17,1,1.5,0.62,1.05,1.24,RB
J.K. Dobbins,2024,1.9,2.34,1,1.3,0.05,0.44,0.44,RB
Travis Homer,2025,1.89,2.01,1,1.6,1.0,0.34,0.12,RB
Jerome Ford,2025,1.89,4.19,1,1.9,1.75,2.19,2.3,RB
Matt Breida,2023,1.88,1.64,1,1.2,0.5,0.38,-0.24,RB
Zack Moss,2025,1.83,2.17,1,1.1,0.38,0.15,0.34,RB
Isiah Pacheco,2026,1.81,1.67,1,1.1,1.81,0.54,-0.14,RB
Rashaad Penny,2023,1.81,2.66,1,1.2,0.6,0.64,0.85,RB
Kareem Hunt,2023,1.81,4.61,1,1.6,0.5,1.72,2.8,RB
Dare Ogunbowale,2024,1.77,1.64,1,1.2,0.18,0.17,-0.13,RB
Chase Edmonds,2024,1.77,1.58,1,1.0,1.0,0.18,-0.19,RB
Latavius Murray,2023,1.77,2.09,1,1.4,0.8,0.22,0.32,RB
Jerick McKinnon,2023,1.77,2.67,1,1.7,1.09,1.5,0.9,RB
Jonathan Williams,2023,1.77,1.21,1,1.0,0.15,0.0,-0.56,RB
Kenyan Drake,2023,1.77,2.18,1,1.2,0.0,0.37,0.41,RB
Samaje Perine,2024,1.77,1.99,1,1.7,0.29,1.03,0.22,RB
Raheem Mostert,2025,1.73,1.7,1,1.1,0.18,0.13,-0.03,RB
Chase Edmonds,2023,1.65,2.12,1,1.3,0.15,0.23,0.47,RB
Trayveon Williams,2023,1.65,1.01,1,1.0,0.05,-0.02,-0.64,RB
Ty Johnson,2023,1.65,2.21,1,1.7,0.25,0.77,0.56,RB
Myles Gaskin,2023,1.65,1.84,1,1.4,0.0,0.96,0.19,RB
Ronald Jones II,2023,1.65,1.97,1,1.1,0.3,0.33,0.32,RB
D'Ernest Johnson,2023,1.65,1.66,1,1.1,0.25,0.13,0.01,RB
Kareem Hunt,2025,1.62,2.74,1,1.3,0.85,0.35,1.12,RB
Emanuel Wilson,2026,1.6,1.95,1,1.2,0.55,0.21,0.35,RB
Damien Williams,2023,1.56,1.61,1,1.0,0.0,0.15,0.05,RB
Dwayne Washington,2023,1.56,1.24,1,1.1,0.0,0.04,-0.32,RB
Melvin Gordon,2023,1.56,2.37,1,1.1,0.0,0.24,0.81,RB
Trayveon Williams,2024,1.52,1.37,1,1.1,0.0,0.09,-0.15,RB
Ty Johnson,2024,1.52,1.26,1,1.1,0.67,0.07,-0.26,RB
Salvon Ahmed,2024,1.52,1.8,1,1.2,0.0,0.33,0.28,RB
Royce Freeman,2024,1.52,1.39,1,1.0,0.07,0.17,-0.13,RB
Rashaad Penny,2024,1.52,1.51,1,1.0,0.0,0.03,-0.01,RB
D'Onta Foreman,2024,1.52,2.13,1,1.0,0.34,0.24,0.61,RB
D'Ernest Johnson,2024,1.5,1.65,1,1.4,0.22,0.18,0.15,RB
Jeremy McNichols,2026,1.49,1.75,1,1.2,0.56,0.41,0.26,RB
Rico Dowdle,2024,1.48,1.58,1,1.3,0.2,0.33,0.1,RB
Sony Michel,2023,1.45,1.6,1,1.0,0.0,0.1,0.15,RB
Corey Clement,2023,1.45,1.28,1,1.0,0.0,-0.01,-0.17,RB
Darrell Henderson,2023,1.45,3.18,1,1.3,0.0,1.26,1.73,RB
Craig Reynolds,2023,1.45,1.35,1,1.0,0.0,0.05,-0.1,RB
Royce Freeman,2023,1.45,1.62,1,1.0,0.0,0.11,0.17,RB
Marlon Mack,2023,1.45,1.44,1,1.1,0.0,0.07,-0.01,RB
Devine Ozigbo,2023,1.45,1.41,1,1.1,0.0,0.03,-0.04,RB
Benjamin Snell Jr.,2023,1.45,1.41,1,1.2,0.0,0.29,-0.04,RB
Jordan Wilkins,2023,1.45,1.3,1,1.0,0.0,0.09,-0.15,RB
Justin Jackson,2023,1.45,1.15,1,1.0,0.0,0.13,-0.3,RB
Darrel Williams,2023,1.45,1.86,1,1.1,0.0,0.23,0.41,RB
Boston Scott,2024,1.44,1.42,1,1.0,0.25,0.15,-0.02,RB
Khalil Herbert,2025,1.44,2.0,1,1.0,0.48,0.48,0.56,RB
Miles Sanders,2025,1.44,1.59,1,1.0,1.2,0.02,0.15,RB
Jeremy McNichols,2025,1.44,1.73,1,1.3,0.49,0.43,0.29,RB
Alexander Mattison,2025,1.44,3.12,1,1.4,1.2,1.06,1.68,RB
Matt Breida,2024,1.43,1.72,1,1.2,0.0,0.17,0.29,RB
Jaleel McLaughlin,2026,1.43,1.9,1,1.1,0.12,0.53,0.47,RB
Kareem Hunt,2024,1.43,2.42,1,1.3,0.0,0.46,0.99,RB
Craig Reynolds,2025,1.42,1.11,1,1.1,0.0,0.03,-0.31,RB
Michael Carter,2024,1.4,2.52,2,1.5,0.1,1.6,1.12,RB
Jerome Ford,2026,1.4,1.55,1,1.1,0.44,0.17,0.15,RB
Julius Chestnut,2026,1.4,0.85,1,1.1,0.1,0.02,-0.55,RB
Cam Akers,2024,1.39,2.12,1,1.2,0.0,0.72,0.73,RB
Rico Dowdle,2023,1.39,0.83,1,1.5,0.1,0.01,-0.56,RB
Ameer Abdullah,2025,1.35,2.33,1,1.2,0.0,0.53,0.98,RB
Jeff Wilson,2025,1.35,1.39,1,1.0,0.0,0.08,0.04,RB
Mike Boone,2025,1.35,1.31,1,1.1,0.0,-0.01,-0.04,RB
Jonathan Ward,2023,1.35,1.06,1,1.1,0.0,0.05,-0.29,RB
Mike Boone,2024,1.33,1.51,1,1.1,0.0,0.1,0.18,RB
Ke'Shawn Vaughn,2024,1.33,1.48,1,1.1,0.0,0.04,0.15,RB
Jonathan Ward,2024,1.33,1.37,1,1.2,0.0,0.01,0.04,RB
Craig Reynolds,2024,1.33,1.19,1,1.0,0.0,0.07,-0.14,RB
Joshua Kelley,2024,1.33,1.81,1,1.0,0.0,0.06,0.48,RB
Avery Williams,2025,1.32,1.29,1,1.3,0.4,0.15,-0.03,RB
Darrynton Evans,2025,1.31,1.39,1,1.1,0.02,0.03,0.08,RB
Devin Singletary,2026,1.3,2.1,1,1.2,0.0,0.62,0.8,RB
Tyrion Davis-Price,2024,1.3,0.93,1,1.4,0.22,0.01,-0.37,RB
Dameon Pierce,2026,1.29,1.23,1,1.1,0.25,0.08,-0.06,RB
J.J. Taylor,2023,1.26,1.17,1,1.1,0.0,0.0,-0.09,RB
Myles Gaskin,2025,1.26,0.98,1,1.0,0.0,0.02,-0.28,RB
Deon Jackson,2023,1.26,1.53,1,1.2,0.0,0.28,0.27,RB
Michael Carter,2025,1.26,1.46,1,1.1,0.0,0.12,0.2,RB
Larry Rountree III,2023,1.26,0.76,1,1.4,0.0,-0.02,-0.5,RB
Darrynton Evans,2023,1.26,1.2,1,1.2,0.0,0.07,-0.06,RB
Jonathan Ward,2025,1.26,1.39,1,1.1,0.0,0.02,0.13,RB
Trey Sermon,2023,1.26,1.13,1,1.3,0.0,0.36,-0.13,RB
Trey Sermon,2025,1.26,1.43,1,1.2,0.0,0.06,0.17,RB
"Anthony McFarland, Jr.",2023,1.26,0.91,1,1.6,0.0,0.13,-0.35,RB
Patrick Taylor,2023,1.26,0.85,1,1.3,0.0,0.01,-0.41,RB
Cam Akers,2025,1.26,2.37,1,1.2,0.0,0.48,1.11,RB
Clyde Edwards-Helaire,2025,1.26,1.36,1,1.0,0.0,0.28,0.1,RB
JaMycal Hasty,2025,1.26,1.65,1,1.3,0.0,0.15,0.39,RB
D'Ernest Johnson,2025,1.26,1.8,1,1.1,0.0,0.38,0.54,RB
Tony Jones,2023,1.26,1.18,1,1.2,0.0,0.02,-0.08,RB
DeeJay Dallas,2025,1.26,2.31,1,1.1,0.0,0.57,1.05,RB
DeeJay Dallas,2026,1.26,1.13,1,1.1,0.2,0.04,-0.13,RB
Ke'Shawn Vaughn,2025,1.26,1.31,1,1.1,0.0,0.02,0.05,RB
Patrick Taylor,2025,1.26,1.53,1,1.1,0.3,0.28,0.27,RB
Emari Demercado,2026,1.25,1.64,1,1.2,0.55,0.18,0.39,RB
La'Mical Perine,2024,1.24,1.32,1,1.1,0.0,0.05,0.08,RB
Darrynton Evans,2024,1.24,1.59,1,1.1,0.0,0.26,0.35,RB
"Anthony McFarland, Jr.",2024,1.24,1.1,1,1.1,0.0,0.01,-0.14,RB
Patrick Taylor,2024,1.24,1.41,1,1.0,0.0,0.12,0.17,RB
James Robinson,2024,1.24,1.38,1,1.2,0.0,0.03,0.14,RB
Tony Jones,2024,1.24,1.72,1,1.2,0.0,0.19,0.48,RB
Kene Nwangwu,2024,1.24,1.38,1,1.2,0.0,0.19,0.14,RB
Gary Brightwell,2024,1.24,1.79,1,1.2,0.0,0.83,0.55,RB
Deon Jackson,2024,1.24,1.28,1,1.1,0.0,0.07,0.04,RB
Jake Funk,2024,1.24,1.09,1,1.2,0.0,0.06,-0.15,RB
Kevin Harris,2023,1.24,0.67,2,1.5,0.0,0.01,-0.57,RB
Trey Sermon,2024,1.24,1.09,1,1.1,0.0,0.0,-0.15,RB
Cam Akers,2026,1.22,1.28,1,1.1,0.0,-0.0,0.06,RB
Elijah Mitchell,2026,1.22,1.52,1,1.0,0.0,0.31,0.3,RB
Ty Chandler,2026,1.22,1.01,1,1.0,0.0,0.17,-0.21,RB
Zonovan Knight,2026,1.2,1.48,1,1.2,0.02,0.17,0.28,RB
Julius Chestnut,2025,1.19,1.0,1,1.3,0.0,0.02,-0.19,RB
J.J. Taylor,2025,1.19,1.34,1,1.1,0.0,0.02,0.15,RB
Dameon Pierce,2025,1.19,1.93,1,1.2,0.0,0.23,0.74,RB
Ronnie Rivers,2025,1.19,1.53,1,1.1,0.0,0.15,0.34,RB
Raheem Blackshear,2025,1.19,1.26,1,1.0,0.0,0.01,0.07,RB
Tyrion Davis-Price,2025,1.17,1.1,2,1.3,0.0,0.01,-0.07,RB
Zonovan Knight,2023,1.17,0.92,1,1.5,0.0,-0.02,-0.25,RB
Ronnie Rivers,2024,1.16,0.99,1,1.1,0.0,0.01,-0.17,RB
Julius Chestnut,2024,1.16,0.93,1,1.6,0.0,-0.03,-0.23,RB
Zonovan Knight,2024,1.16,0.84,1,1.5,0.0,0.04,-0.32,RB
Raheem Blackshear,2024,1.16,1.23,1,1.0,0.0,0.07,0.07,RB
Keaontay Ingram,2024,1.16,1.11,1,1.2,0.0,0.11,-0.05,RB
Christopher Brooks,2024,1.15,0.74,2,1.4,0.0,-0.01,-0.41,RB
Jaret Patterson,2026,1.14,1.32,1,1.1,0.0,-0.02,0.18,RB
Chris Rodriguez Jr.,2025,1.11,1.11,1,1.2,0.0,0.06,0.0,RB
Tyler Goodson,2025,1.11,1.53,1,1.2,0.0,0.29,0.42,RB
Emanuel Wilson,2025,1.11,2.07,1,1.4,0.0,1.05,0.96,RB
Terrell Jennings,2025,1.1,0.97,2,1.5,0.0,0.01,-0.13,RB
Audric Estime,2025,1.1,0.83,2,1.5,0.0,-0.0,-0.27,RB
Jermar Jefferson,2025,1.1,0.75,2,1.1,0.0,0.01,-0.35,RB
Jordan Mims,2025,1.1,1.29,2,1.2,0.0,0.07,0.19,RB
Cody Schrader,2025,1.1,1.16,2,1.2,0.0,-0.01,0.06,RB
Kimani Vidal,2026,1.08,1.71,1,1.4,0.0,0.37,0.63,RB
Brittain Brown,2026,1.08,1.62,1,1.5,0.0,0.08,0.54,RB
George Holani,2026,1.08,1.47,1,1.1,0.0,0.03,0.39,RB
Emanuel Wilson,2024,1.08,0.98,1,1.1,0.0,0.09,-0.1,RB
Chris Rodriguez Jr.,2024,1.08,1.15,1,1.3,0.0,0.05,0.07,RB
Elijah Dotson,2024,1.08,1.24,1,1.2,0.0,0.05,0.16,RB
Tyler Badie,2026,1.08,1.56,1,1.5,0.0,0.19,0.48,RB
Josh Williams,2026,1.06,1.35,2,1.2,0.0,0.03,0.29,RB
Owen Wright,2026,1.06,1.26,2,1.1,0.0,0.01,0.2,RB
Aaron Shampklin,2025,1.04,1.03,1,1.3,0.0,-0.01,-0.01,RB
Kimani Vidal,2025,1.04,0.69,1,1.3,0.0,0.09,-0.35,RB
Jase McClellan,2025,1.04,0.69,1,1.5,0.0,0.02,-0.35,RB
Jashaun Corbin,2025,1.04,0.91,1,1.5,0.0,-0.04,-0.13,RB
Jordan Mims,2024,1.03,0.87,2,1.2,0.0,-0.02,-0.16,RB
Spencer Brown,2023,1.0,1.08,1,1.3,0.0,-0.0,0.08,RB
Jacob Saylors,2026,1.0,1.35,1,1.1,0.0,0.05,0.35,RB
Kendall Milton,2026,1.0,0.93,1,1.5,0.0,-0.01,-0.07,RB
Evan Hull,2024,0.94,0.73,1,1.4,0.0,0.02,-0.21,RB
Amar Johnson,2026,0.88,0.84,1,1.5,0.0,0.0,-0.04,RB
Jacardia Wright,2026,0.88,1.13,1,1.1,0.0,0.01,0.25,RB
Ulysses Bentley IV,2026,0.88,1.13,1,1.1,0.0,0.05,0.25,RB
Dalvin Cook,2024,0.56,1.96,1,1.1,0.0,0.13,1.4,RB
Pierre Strong Jr.,2025,0.46,2.35,1,1.2,0.0,0.49,1.89,RB
Malik Davis,2023,0.44,1.12,1,1.2,0.0,-0.0,0.68,RB
Leonard Fournette,2023,0.39,3.41,1,1.6,0.0,1.68,3.02,RB
Ke'Shawn Vaughn,2023,0.39,1.34,1,0.9,0.0,0.26,0.95,RB
Tyler Badie,2023,0.33,0.67,1,1.4,0.0,0.05,0.34,RB
Chris Collier,2025,0.3,1.07,1,1.3,0.0,-0.0,0.77,RB
Tyrion Davis-Price,2023,0.29,0.98,1,1.4,0.0,0.17,0.69,RB
Zander Horvath,2023,0.29,1.03,1,1.3,0.0,0.22,0.74,RB
Keaontay Ingram,2023,0.29,0.75,1,1.2,0.0,-0.01,0.46,RB
Jaret Patterson,2023,0.29,0.72,1,1.4,0.0,-0.03,0.43,RB
Demetric Felton,2023,0.29,1.01,1,1.2,0.0,0.15,0.72,RB
Snoop Conner,2023,0.29,0.69,1,1.3,0.0,0.0,0.4,RB
Zach Evans,2024,0.27,0.76,1,1.3,0.0,0.01,0.49,RB
Isaiah Spiller,2024,0.27,0.97,1,1.2,0.0,0.03,0.7,RB
Kevin Harris,2024,0.27,0.71,1,1.4,0.0,0.09,0.44,RB
Blake Watson,2025,0.25,0.92,1,1.2,0.0,-0.03,0.67,RB
Deuce Vaughn,2025,0.25,0.7,1,1.1,0.0,0.02,0.45,RB
Israel Abanikanda,2025,0.25,0.78,1,1.3,0.0,0.01,0.53,RB
Carson Steele,2025,0.25,0.88,1,1.6,0.0,0.02,0.63,RB
Sincere McCormick,2025,0.25,1.12,1,1.1,0.0,0.13,0.87,RB
Brian Robinson Jr.,2026,0.0,3.82,1,1.1,0.0,0.78,3.82,RB
Travis Homer,2026,0.0,1.45,1,1.0,0.0,0.24,1.45,RB
Michael Carter,2026,0.0,2.04,1,1.2,0.0,0.2,2.04,RB
A.J. Dillon,2026,0.0,1.26,1,1.0,0.0,-0.01,1.26,RB
Tyler Goodson,2026,0.0,1.12,1,1.2,0.0,0.01,1.12,RB
Ronnie Rivers,2026,0.0,1.26,1,1.0,0.0,0.04,1.26,RB
T.J. Hockenson,2023,22.11,13.62,4,2.2,29.29,7.58,-8.49,TE
George Kittle,2025,20.61,14.01,4,2.4,35.0,12.11,-6.6,TE
Trey McBride,2025,20.5,15.6,4,3.0,32.5,18.02,-4.9,TE
Travis Kelce,2024,20.2,13.61,2,2.4,17.0,9.31,-6.59,TE
Evan Engram,2023,18.42,12.2,3,2.5,24.0,9.68,-6.22,TE
Cole Kmet,2023,16.75,13.77,4,3.3,22.89,13.3,-2.98,TE
Kyle Pitts,2026,15.04,10.65,1,2.9,0.0,6.74,-4.39,TE
Pat Freiermuth,2024,14.27,10.43,4,2.4,11.6,6.97,-3.84,TE
Dalton Schultz,2024,14.15,13.19,3,2.3,23.5,8.06,-0.96,TE
Mark Andrews,2025,14.12,11.32,3,2.2,20.94,4.26,-2.8,TE
Jake Ferguson,2025,13.48,9.24,4,2.7,20.66,7.59,-4.24,TE
Isaiah Likely,2026,13.33,10.77,3,2.6,20.5,8.78,-2.56,TE
Jonnu Smith,2025,12.96,9.87,1,2.5,7.74,3.5,-3.09,TE
Dalton Schultz,2026,12.6,12.44,1,2.2,17.6,6.63,-0.16,TE
Evan Engram,2025,12.41,8.12,2,2.0,16.5,3.92,-4.29,TE
Noah Fant,2024,12.38,13.94,2,2.8,11.49,15.06,1.56,TE
Travis Kelce,2026,12.0,11.47,1,2.2,12.0,7.21,-0.53,TE
Dawson Knox,2024,11.6,6.16,3,1.7,12.75,1.63,-5.44,TE
Tyler Higbee,2023,11.39,12.56,2,2.3,11.08,5.87,1.17,TE
Juwan Johnson,2025,11.06,8.81,3,1.7,21.25,4.32,-2.25,TE
Dallas Goedert,2025,10.79,11.95,1,2.3,10.0,5.12,1.16,TE
Hunter Henry,2024,10.61,12.11,3,1.7,15.8,6.0,1.5,TE
T.J. Hockenson,2026,10.25,7.41,1,1.7,10.15,1.63,-2.84,TE
Jonnu Smith,2023,10.05,6.73,2,1.9,8.5,2.32,-3.32,TE
Cade Otton,2026,10.0,9.74,3,2.4,20.0,5.4,-0.26,TE
Hayden Hurst,2023,9.71,5.61,3,1.7,13.0,3.06,-4.1,TE
Josh Oliver,2023,9.38,2.61,3,1.7,8.2,1.17,-6.77,TE
Mike Gesicki,2025,9.17,8.2,3,2.2,6.5,4.23,-0.97,TE
Chigoziem Okonkwo,2026,9.0,11.94,3,2.6,16.7,10.42,2.94,TE
Colby Parkinson,2024,8.84,6.92,3,2.6,10.25,2.61,-1.92,TE
Dalton Schultz,2023,8.37,12.01,1,2.5,6.0,8.65,3.64,TE
Josh Oliver,2025,8.36,6.39,3,2.1,15.64,4.02,-1.97,TE
Charlie Kolar,2026,8.1,3.79,3,1.6,17.0,2.14,-4.31,TE
Juwan Johnson,2023,8.05,7.86,2,3.0,8.51,6.78,-0.19,TE
John Bates,2025,7.55,2.99,3,1.9,11.52,1.51,-4.56,TE
Gerald Everett,2024,7.08,8.42,2,1.7,6.06,8.65,1.34,TE
Noah Gray,2024,7.08,7.42,3,2.7,10.02,7.35,0.34,TE
Dallas Goedert,2026,7.0,10.6,1,2.0,7.0,7.73,3.6,TE
Daniel Bellinger,2026,7.0,6.5,3,2.5,14.01,6.55,-0.5,TE
Zach Ertz,2025,6.74,8.91,1,1.8,5.59,2.79,2.17,TE
Dawson Knox,2026,6.67,9.14,3,2.1,10.0,7.22,2.47,TE
Mike Gesicki,2023,6.03,8.64,1,1.9,3.55,7.81,2.61,TE
Adam Trautman,2026,5.67,2.94,3,1.7,9.5,1.15,-2.73,TE
Luke Farrell,2025,5.66,2.54,3,1.7,6.0,0.58,-3.12,TE
Tommy Tremble,2025,5.66,7.7,2,2.6,6.0,5.44,2.04,TE
Will Dissly,2024,5.5,6.86,3,1.9,1.0,3.54,1.36,TE
Foster Moreau,2023,5.46,10.05,3,2.7,8.02,7.96,4.59,TE
Austin Hooper,2025,5.39,7.76,1,2.0,4.0,4.3,2.37,TE
Jeremy Ruckert,2025,5.39,3.49,2,2.2,4.97,2.0,-1.9,TE
Durham Smythe,2023,5.19,2.82,2,1.3,5.5,0.77,-2.37,TE
Julian Hill,2026,5.0,2.45,3,1.8,7.5,0.89,-2.55,TE
Jonnu Smith,2024,4.95,11.08,1,2.0,3.96,6.49,6.13,TE
Brock Wright,2024,4.72,1.63,3,1.1,4.6,0.29,-3.09,TE
Charlie Woerner,2024,4.72,2.7,3,1.5,4.16,0.75,-2.02,TE
Ian Thomas,2023,4.46,5.72,2,2.2,4.0,2.46,1.26,TE
Adam Trautman,2024,4.42,5.31,2,1.6,5.0,3.09,0.89,TE
Noah Fant,2026,4.38,5.08,2,1.4,4.5,2.59,0.7,TE
Andrew Beck,2023,4.19,2.17,2,1.4,4.0,0.58,-2.02,TE
Drew Sample,2024,4.13,3.75,3,1.4,2.35,1.56,-0.38,TE
Chris Manhertz,2023,4.02,3.41,2,1.3,3.34,1.08,-0.61,TE
Jake Tonges,2026,4.0,4.53,2,1.5,5.5,0.51,0.53,TE
Harrison Bryant,2024,3.83,2.86,1,1.4,2.88,1.26,-0.97,TE
Pharaoh Brown,2024,3.77,2.46,1,1.2,2.69,0.3,-1.31,TE
Austin Hooper,2023,3.68,8.02,1,1.9,2.16,4.22,4.34,TE
Robert Tonyan,2023,3.55,5.89,1,1.9,1.25,2.59,2.34,TE
Austin Hooper,2024,3.54,4.1,1,1.5,2.41,1.97,0.56,TE
Zach Ertz,2024,3.54,2.37,1,1.2,1.96,0.22,-1.17,TE
Greg Dulcich,2026,3.25,5.17,1,1.7,2.91,0.72,1.92,TE
Austin Hooper,2026,3.25,4.6,1,1.5,2.74,1.97,1.35,TE
Tyler Conklin,2025,3.24,8.88,1,2.3,2.83,5.53,5.64,TE
Foster Moreau,2026,3.15,4.98,2,1.5,3.0,2.52,1.83,TE
Tyler Higbee,2026,3.0,6.96,2,1.5,4.0,3.48,3.96,TE
Durham Smythe,2026,3.0,1.9,1,1.2,2.0,0.4,-1.1,TE
Johnny Mundt,2025,2.97,3.26,2,1.3,2.26,1.61,0.29,TE
Noah Fant,2025,2.97,8.77,1,1.7,1.0,6.26,5.8,TE
Mike Gesicki,2024,2.95,4.64,1,1.3,0.4,1.37,1.69,TE
Eric Saubert,2025,2.7,1.72,1,1.2,0.79,0.17,-0.98,TE
Durham Smythe,2025,2.7,2.94,1,1.4,1.5,0.58,0.24,TE
Hunter Long,2025,2.7,2.06,2,1.4,3.0,0.28,-0.64,TE
Mo Alie-Cox,2026,2.69,2.28,1,1.2,2.19,0.05,-0.41,TE
Marcedes Lewis,2023,2.68,4.24,1,1.5,1.0,1.4,1.56,TE
Jordan Akins,2023,2.61,6.44,2,2.2,1.73,5.84,3.83,TE
Brevin Jordan,2024,2.48,2.91,1,1.7,0.85,1.78,0.43,TE
Brady Russell,2026,2.4,1.09,2,1.2,2.14,0.03,-1.31,TE
Mo Alie-Cox,2025,2.37,3.92,1,1.7,1.17,2.05,1.55,TE
Johnny Mundt,2024,2.36,2.57,1,1.6,0.75,0.68,0.21,TE
Marcedes Lewis,2024,2.36,2.69,1,1.2,1.0,0.61,0.33,TE
Irv Smith Jr.,2023,2.34,5.52,1,1.8,0.4,1.23,3.18,TE
Harrison Bryant,2023,2.34,5.07,1,2.2,1.75,2.01,2.73,TE
Ross Dwelley,2023,2.28,2.25,1,1.4,0.7,0.66,-0.03,TE
Geoff Swaim,2023,2.28,2.12,1,1.4,0.45,0.41,-0.16,TE
Eric Saubert,2023,2.26,2.07,1,1.3,0.85,0.3,-0.19,TE
Connor Heyward,2026,2.25,2.2,2,1.7,2.0,0.86,-0.05,TE
Andrew Ogletree,2026,2.25,1.74,1,1.2,1.5,0.26,-0.51,TE
Darren Waller,2025,2.16,8.27,1,1.8,0.0,2.64,6.11,TE
Adam Trautman,2023,2.01,3.81,1,2.1,1.5,2.29,1.8,TE
Quintin Morris,2026,2.0,1.23,1,1.1,1.7,-0.04,-0.77,TE
Josh Whyle,2026,2.0,1.51,1,1.1,0.37,0.05,-0.49,TE
Grant Calcaterra,2026,2.0,2.38,1,1.4,0.7,1.07,0.38,TE
Kylen Granson,2025,1.89,6.33,1,2.3,1.0,5.69,4.44,TE
Zach Gentry,2023,1.88,2.54,1,1.6,0.15,1.57,0.66,TE
Brevin Jordan,2025,1.86,1.61,1,1.3,0.2,0.36,-0.25,TE
Eric Tomlinson,2023,1.77,2.11,1,1.1,0.65,0.34,0.34,TE
Jimmy Graham,2023,1.77,6.05,1,1.5,0.15,2.11,4.28,TE
Blake Bell,2023,1.77,1.75,1,1.2,0.0,0.03,-0.02,TE
Tyler Kroft,2023,1.73,1.45,1,1.2,0.02,0.11,-0.28,TE
Donald Parham,2023,1.7,1.52,2,1.1,0.4,0.18,-0.18,TE
Kenny Yeboah,2024,1.68,1.57,1,1.3,0.22,0.23,-0.11,TE
James Mitchell,2026,1.66,1.53,1,1.5,0.59,0.35,-0.13,TE
