player_id,player_name,season,pass_attempts,completions,pass_yards,pass_tds,interceptions,sacks,pass_epa_per_play,pass_total_epa,completion_pct,yards_per_attempt,pass_td_rate,int_rate,carries,rush_yards,rush_tds,explosive_runs,rush_fumbles,rush_epa_per_play,rush_total_epa,yards_per_carry,rush_td_rate,explosive_run_rate,fumble_rate,targets,receptions,rec_yards,rec_tds,explosive_recs,rec_fumbles,air_yards,yac,rec_epa_per_play,rec_total_epa,catch_rate,yards_per_rec,rec_td_rate,explosive_rec_rate,air_yards_per_target,yac_per_rec,games_played,player,position,curr_year_signed,curr_years,curr_value,curr_apy,curr_guaranteed,is_active,curr_apy_cap_pct,curr_inflated_value,curr_inflated_apy,curr_inflated_guaranteed,draft_round,draft_overall,year_end,next_year_signed,next_apy,next_years,next_value,next_guaranteed,next_apy_cap_pct,next_inflated_value,next_inflated_apy,next_inflated_guaranteed
00-0036450,K.Vaughn,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0,0.0,-0.31626720528583974,-0.6325344105716795,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Ke'Shawn Vaughn,RB,2024,1,1.125,1.125,0.0,false,0.004,1.326742,1.326742,0.0,3,76,2024,2025,1.17,1,1.17,0.0,0.004,1.262192,1.262192,0.0
00-0031787,J.Kumerow,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,103.0,1.0,1,0.0,111.0,23.0,0.7038214859997176,7.742036345996894,0.7272727272727273,12.875,0.09090909090909091,0.125,10.090909090909092,2.875,4,Jake Kumerow,WR,2018,1,0.48,0.48,0.0,false,0.003,0.815892,0.815892,0.0,,,2018,2019,0.57,1,0.57,0.0,0.003,0.912242,0.912242,0.0
00-0033611,R.Seals-Jones,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,201.0,3.0,5,0.0,319.0,74.0,0.1257932376964683,3.5222106555011123,0.42857142857142855,16.75,0.10714285714285714,0.4166666666666667,11.392857142857142,6.166666666666667,8,Ricky Seals-Jones,TE,2017,3,1.665,0.555,0.007,false,0.003,3.002982,1.000994,0.012625,,,2019,2019,0.645,1,0.645,0.0,0.003,1.032274,1.032274,0.0
00-0038933,D.Kincaid,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,44.0,448.0,2.0,5,1.0,573.0,274.0,0.19741398586047285,14.806048939535463,0.5866666666666667,10.181818181818182,0.02666666666666667,0.11363636363636363,7.64,6.2272727272727275,13,Dalton Kincaid,TE,2023,4,13.42704,3.35676,13.42704,true,0.015,17.990322,4.497581,17.990322,1,25,2026,,,,,,,,,
00-0033530,R.Davis,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,17.0,0.0,0,0.0,36.0,2.0,-0.7746840846026316,-3.873420423013158,0.4,8.5,0.0,0.0,7.2,1.0,3,Robert Davis,WR,2019,1,0.57,0.57,0.0,false,0.003,0.912242,0.912242,0.0,6,209,2019,2020,0.1428,1,0.1428,0.0,0.001,0.21701,0.21701,0.0
00-0030431,R.Woods,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,115.0,1.0,4,0.0,0.31019885537063924,5.273380541300867,6.764705882352941,0.058823529411764705,0.23529411764705882,0.0,139.0,90.0,1134.0,2.0,14,0.0,1169.0,576.0,0.16296722658204246,22.652444494903904,0.6474820143884892,12.6,0.014388489208633094,0.15555555555555556,8.410071942446043,6.4,15,Robert Woods,WR,2017,5,34.0,6.8,10.0,false,0.040999999999999995,61.322156,12.264431,18.035928,2,41,2021,2020,16.25,4,65.0,18.205882,0.08199999999999999,98.779011,24.694753,27.667062
00-0039146,J.Reed,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,1,0.0,0.470466620909671,1.411399862729013,9.333333333333334,0.0,0.3333333333333333,0.0,22.0,19.0,207.0,1.0,4,0.0,179.0,85.0,0.5249778468024968,11.54951262965493,0.8636363636363636,10.894736842105264,0.045454545454545456,0.21052631578947367,8.136363636363637,4.473684210526316,5,Jayden Reed,WR,2023,4,7.180778,1.795195,4.048783,true,0.008,9.62122,2.405306,5.424793,2,50,2026,,,,,,,,,
00-0028042,L.Stocker,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,30.0,1.0,0,0.0,13.0,22.0,0.5400406594970264,2.7002032974851318,0.8,7.5,0.2,0.0,2.6,5.5,4,Luke Stocker,TE,2017,2,1.975,0.9875,0.0,false,0.006,3.562096,1.781048,0.0,4,104,2018,2019,2.75,2,5.5,1.5,0.015,8.802338,4.401169,2.400638
00-0027981,K.Rudolph,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,39.0,367.0,6.0,3,0.0,308.0,190.0,0.47950872856281773,23.49592769957807,0.7959183673469388,9.41025641025641,0.12244897959183673,0.07692307692307693,6.285714285714286,4.871794871794871,15,Kyle Rudolph,TE,2019,4,36.1,9.025,9.0,false,0.048,57.775345,14.443836,14.403826,2,43,2022,2021,6.0,2,12.0,4.5,0.033,19.804932,9.902466,7.426849
00-0033911,T.Taylor,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,33.0,0.0,-0.5335959969088435,-0.5335959969088435,0.0,NaN,0.0,NaN,33.0,NaN,1,Taywan Taylor,WR,2017,4,3.681012,0.920253,0.916012,false,0.006,6.639047,1.659762,1.652113,3,72,2020,2020,0.825,1,0.825,0.0,0.004,1.253734,1.253734,0.0
00-0027793,A.Brown,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0,0.0,0.36675744561944157,0.36675744561944157,5.0,0.0,0.0,0.0,8.0,4.0,56.0,1.0,1,0.0,92.0,7.0,0.2567082436343504,2.0536659490748033,0.5,14.0,0.125,0.25,11.5,1.75,1,Antonio Brown,WR,2019,2,30.5,15.25,10.0,false,0.081,48.812965,24.406482,16.004251,6,195,2020,2020,1.666666,1,1.666666,0.0,0.008,2.532794,2.532794,0.0
